year2,state,fage4,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,12,a) 0,30846,33087,228649,116148,32458,196.2,0,0,225003,225003,0,193.7,193.7,0,0,0,0,0,225003,193.7,0,0,,,
1977,12,l) Left Censored,121124,149004,2190252,2200508,4358,2.7,27045,16.8,397871,94995,302876,4.3,18.1,418383,191982,226401,8.7,19,-20512,-0.9,36.2,0,19132,19236,120706
1977,13,a) 0,13866,14887,83397,42200,14608,196.3,0,0,82395,82395,0,195.2,195.2,0,0,0,0,0,82395,195.2,0,0,,,
1977,13,l) Left Censored,64585,81027,1409484,1410264,2965,3.4,13166,15.2,237531,64359,173172,4.6,16.8,239090,97339,141751,6.9,17,-1559,-0.2,33.6,0,8877,8911,56643
1977,15,a) 0,2495,2852,20047,10160,2795,196,0,0,19775,19775,0,194.6,194.6,0,0,0,0,0,19775,194.6,0,0,,,
1977,15,l) Left Censored,12290,15062,241060,243222,511,3.2,2150,13.5,35810,7817,27993,3.2,14.7,40134,19811,20323,8.1,16.5,-4324,-1.8,29.4,0,1422,1438,10556
1977,16,a) 0,3133,3309,16796,8478,3259,197,0,0,16637,16637,0,196.2,196.2,0,0,0,0,0,16637,196.2,0,0,,,
1977,16,l) Left Censored,12972,15481,242326,222941,470,2.8,2500,15.1,75479,7722,67757,3.5,33.9,36709,15378,21331,6.9,16.5,38770,17.4,33,0,1738,1749,9788
1977,17,a) 0,24561,26718,181698,91971,26203,196.1,0,0,179454,179454,0,195.1,195.1,0,0,0,0,0,179454,195.1,0,0,,,
1977,17,l) Left Censored,150999,178220,3737428,3719733,4577,2.4,25527,13.5,566369,113546,452823,3.1,15.2,530978,202049,328929,5.4,14.3,35391,0.9,28.6,0,16751,16871,107141
1977,18,a) 0,11472,12584,82140,41809,12360,196.4,0,0,80663,80663,0,192.9,192.9,0,0,0,0,0,80663,192.9,0,0,,,
1977,18,l) Left Censored,67552,82598,1626361,1627633,2066,2.4,11454,13.1,218164,41372,176792,2.5,13.4,220707,81202,139505,5,13.6,-2543,-0.2,26.8,0,7438,7499,50182
1977,19,a) 0,8296,8925,48870,24655,8803,197.3,0,0,48430,48430,0,196.4,196.4,0,0,0,0,0,48430,196.4,0,0,,,
1977,19,l) Left Censored,46459,55117,788867,784464,1351,2.3,7961,13.6,120682,19700,100982,2.5,15.4,111876,50775,61101,6.5,14.3,8806,1.1,28.6,0,5274,5295,31820
1977,20,a) 0,6993,7476,63621,32210,7355,196.8,0,0,62823,62823,0,195,195,0,0,0,0,0,62823,195,0,0,,,
1977,20,l) Left Censored,37473,44306,620221,623358,1179,2.5,6944,14.7,97111,24030,73081,3.9,15.6,103384,44771,58613,7.2,16.6,-6273,-1,31.2,0,4706,4729,26825
1977,21,a) 0,7951,8494,45804,23144,8335,196.3,0,0,45320,45320,0,195.8,195.8,0,0,0,0,0,45320,195.8,0,0,,,
1977,21,l) Left Censored,42235,50082,870940,862209,1376,2.6,7697,14.4,148171,28315,119856,3.3,17.2,130708,52001,78707,6,15.2,17463,2,30.4,0,5214,5226,31052
1977,22,a) 0,9636,10310,62440,31753,10105,196,0,0,61374,61374,0,193.3,193.3,0,0,0,0,0,61374,193.3,0,0,,,
1977,22,l) Left Censored,49316,59719,959583,960566,1697,2.7,8216,13,161946,35029,126917,3.6,16.9,163911,61750,102161,6.4,17.1,-1965,-0.2,33.8,0,5819,5852,37703
1977,23,a) 0,2921,3148,17760,9022,3103,197.1,0,0,17476,17476,0,193.7,193.7,0,0,0,0,0,17476,193.7,0,0,,,
1977,23,l) Left Censored,16008,18525,274787,274853,338,1.7,2749,13.9,42404,9544,32860,3.5,15.4,42535,16956,25579,6.2,15.5,-131,-0.1,30.8,0,1756,1762,9457
1977,24,a) 0,8703,9431,55695,28265,9265,196.5,0,0,54860,54860,0,194.1,194.1,0,0,0,0,0,54860,194.1,0,0,,,
1977,24,l) Left Censored,48854,59238,1070724,1084407,1742,2.8,8105,13,167880,32520,135360,3,15.5,195246,65776,129470,6.1,18,-27366,-2.5,31,0,5202,5223,33840
1977,25,a) 0,11739,12759,103400,52145,12522,196.3,0,0,102511,102511,0,196.6,196.6,0,0,0,0,0,102511,196.6,0,0,,,
1977,25,l) Left Censored,81967,95956,1847037,1829436,2168,2.1,12039,11.9,286943,54122,232821,3,15.7,251741,104349,147392,5.7,13.8,35202,1.9,27.6,0,7820,7849,55353
1977,26,a) 0,18247,20121,126720,64062,19763,196.4,0,0,125316,125316,0,195.6,195.6,0,0,0,0,0,125316,195.6,0,0,,,
1977,26,l) Left Censored,104579,126910,2591490,2556699,3408,2.5,18173,13.5,407378,73454,333924,2.9,15.9,337796,129324,208472,5.1,13.2,69582,2.7,26.4,0,11444,11516,71034
1977,27,a) 0,9839,10673,71682,36366,10505,196.9,0,0,70633,70633,0,194.2,194.2,0,0,0,0,0,70633,194.2,0,0,,,
1977,27,l) Left Censored,55650,66287,1211029,1194529,1730,2.5,8977,12.8,211746,37944,173802,3.2,17.7,178745,73208,105537,6.1,15,33001,2.7,30,0,5779,5833,43594
1977,28,a) 0,5770,6133,33709,17111,6003,195.8,0,0,33197,33197,0,194,194,0,0,0,0,0,33197,194,0,0,,,
1977,28,l) Left Censored,29001,34570,547264,542973,878,2.4,5252,14.2,89613,14928,74685,2.7,16.5,81031,34706,46325,6.4,14.9,8582,1.6,29.8,0,3728,3754,22449
1977,29,a) 0,12354,13219,76465,38707,12989,196.5,0,0,75517,75517,0,195.1,195.1,0,0,0,0,0,75517,195.1,0,0,,,
1977,29,l) Left Censored,67511,81553,1432642,1430529,2104,2.4,12456,14.3,221334,38015,183319,2.7,15.5,217108,89617,127491,6.3,15.2,4226,0.3,30.4,0,8281,8321,47534
1977,30,a) 0,3210,3376,16235,8249,3323,196.9,0,0,15973,15973,0,193.6,193.6,0,0,0,0,0,15973,193.6,0,0,,,
1977,30,l) Left Censored,13423,15546,174736,170252,347,2.1,2397,14.4,37835,7036,30799,4.1,22.2,28867,13323,15544,7.8,17,8968,5.2,34,0,1670,1675,9899
1977,31,a) 0,4750,5050,26326,13267,4974,197,0,0,26119,26119,0,196.9,196.9,0,0,0,0,0,26119,196.9,0,0,,,
1977,31,l) Left Censored,26641,31041,447143,438336,768,2.3,4374,13.3,89920,12391,77529,2.8,20.5,72305,29267,43038,6.7,16.5,17615,4,33,0,2971,2982,19346
1977,32,a) 0,2730,2907,17865,8985,2867,197.2,0,0,17761,17761,0,197.7,197.7,0,0,0,0,0,17761,197.7,0,0,,,
1977,32,l) Left Censored,10142,11775,217427,215189,391,3.1,2044,16.2,39410,7010,32400,3.3,18.3,34933,15357,19576,7.1,16.2,4477,2.1,32.4,0,1465,1469,9485
1977,33,a) 0,2765,2929,14657,7388,2882,196.8,0,0,14538,14538,0,196.8,196.8,0,0,0,0,0,14538,196.8,0,0,,,
1977,33,l) Left Censored,13788,15520,247465,246384,322,2,2063,12.6,36659,5608,31051,2.3,14.9,34497,14599,19898,5.9,14,2162,0.9,28,0,1400,1407,8623
1977,34,a) 0,17463,18295,101397,52772,17885,195.5,0,0,97251,97251,0,184.3,184.3,0,0,0,0,0,97251,184.3,0,0,,,
1977,34,l) Left Censored,107175,123342,2198340,2206227,2792,2.1,17341,13.2,330850,81058,249792,3.7,15,346624,131558,215066,6,15.7,-15774,-0.7,30,0,11014,11057,63980
1977,35,a) 0,4141,4375,23129,11696,4287,196,0,0,22867,22867,0,195.5,195.5,0,0,0,0,0,22867,195.5,0,0,,,
1977,35,l) Left Censored,16763,19801,251089,254720,602,2.8,3459,16.2,44236,10407,33829,4.1,17.4,51497,22137,29360,8.7,20.2,-7261,-2.8,34.8,0,2421,2429,13603
1977,36,a) 0,41121,43694,251939,128112,42731,195.6,0,0,247654,247654,0,193.3,193.3,0,0,0,0,0,247654,193.3,0,0,,,
1977,36,l) Left Censored,271106,309585,5284541,5306854,5336,1.6,44902,13.6,796986,154421,642565,2.9,15,841611,323854,517757,6.1,15.9,-44625,-0.9,30,0,31294,31402,181801
1977,37,a) 0,13574,14606,83739,43006,14330,196.2,0,0,81466,81466,0,189.4,189.4,0,0,0,0,0,81466,189.4,0,0,,,
1977,37,l) Left Censored,70938,87915,1667255,1676692,2404,2.6,12387,13.3,225123,51023,174100,3,13.4,243998,88097,155901,5.3,14.6,-18875,-1.2,26.8,0,8384,8412,51648
1977,38,a) 0,2107,2193,11055,5571,2163,197.3,0,0,10968,10968,0,196.9,196.9,0,0,0,0,0,10968,196.9,0,0,,,
1977,38,l) Left Censored,11070,12724,138157,141075,272,2,1871,13.8,18585,3269,15316,2.3,13.2,24420,10832,13588,7.7,17.3,-5835,-4.1,26.4,0,1170,1175,7566
1977,39,a) 0,20802,23052,141615,71730,22620,196.3,0,0,139771,139771,0,194.9,194.9,0,0,0,0,0,139771,194.9,0,0,,,
1977,39,l) Left Censored,131228,166025,3400271,3364898,4951,2.8,21859,12.5,522369,115379,406990,3.4,15.5,451622,171098,280524,5.1,13.4,70747,2.1,26.8,0,13726,13812,90134
1977,40,a) 0,8986,9471,55111,27889,9310,196.6,0,0,54444,54444,0,195.2,195.2,0,0,0,0,0,54444,195.2,0,0,,,
1977,40,l) Left Censored,41350,49000,691388,693765,1216,2.3,7817,14.9,110579,23889,86690,3.4,15.9,115332,50346,64986,7.3,16.6,-4753,-0.7,31.8,0,5626,5652,32495
1977,41,a) 0,9097,9743,53648,27173,9619,197.5,0,0,52951,52951,0,194.9,194.9,0,0,0,0,0,52951,194.9,0,0,,,
1977,41,l) Left Censored,37468,44257,642123,644915,1351,2.8,7492,15.8,102682,18852,83830,2.9,15.9,108265,50465,57800,7.8,16.8,-5583,-0.9,31.8,0,4972,4997,30325
1977,42,a) 0,22347,24335,154882,78785,23835,195.9,0,0,152194,152194,0,193.2,193.2,0,0,0,0,0,152194,193.2,0,0,,,
1977,42,l) Left Censored,152146,184372,3695424,3668779,4648,2.4,22690,11.7,557871,121993,435878,3.3,15.2,504582,183802,320780,5,13.8,53289,1.4,27.6,0,14433,14526,94367
1977,44,a) 0,2326,2437,12162,6085,2435,199.8,0,0,12155,12155,0,199.8,199.8,0,0,0,0,0,12155,199.8,0,0,,,
1977,44,l) Left Censored,15247,17022,345869,318337,335,1.9,2227,12.4,94159,6131,88028,1.9,29.6,39094,14848,24246,4.7,12.3,55065,17.3,24.6,0,1452,1462,7106
1977,45,a) 0,7019,7465,36236,18401,7308,195.8,0,0,35671,35671,0,193.9,193.9,0,0,0,0,0,35671,193.9,0,0,,,
1977,45,l) Left Censored,35329,42708,803210,809537,1130,2.5,6094,13.5,101274,24027,77247,3,12.5,113927,41938,71989,5.2,14.1,-12653,-1.6,25,0,4204,4229,23887
1977,46,a) 0,2162,2286,11499,5819,2242,196.2,0,0,11360,11360,0,195.2,195.2,0,0,0,0,0,11360,195.2,0,0,,,
1977,46,l) Left Censored,11720,13319,183811,166137,259,1.8,2013,14.1,60425,14502,45923,8.7,36.4,25076,10499,14577,6.3,15.1,35349,21.3,30.2,0,1255,1255,6637
1977,47,a) 0,11281,12154,87001,43970,11916,196.1,0,0,86062,86062,0,195.7,195.7,0,0,0,0,0,86062,195.7,0,0,,,
1977,47,l) Left Censored,54334,66184,1226121,1229590,1844,2.6,10117,14.3,181548,35498,146050,2.9,14.8,188486,74336,114150,6,15.3,-6938,-0.5,29.6,0,6941,6971,44016
1977,48,a) 0,40081,43514,265052,134490,42727,196.4,0,0,261124,261124,0,194.2,194.2,0,0,0,0,0,261124,194.2,0,0,,,
1977,48,l) Left Censored,174424,220240,3724801,3711013,7076,3,34101,14.5,679479,172940,506539,4.7,18.3,651904,264045,387859,7.1,17.6,27575,0.7,35.2,0,23575,23750,157804
1977,49,a) 0,4261,4512,23990,12113,4430,196.4,0,0,23754,23754,0,196.1,196.1,0,0,0,0,0,23754,196.1,0,0,,,
1977,49,l) Left Censored,17008,20042,332345,327542,643,3,3305,15.4,68940,14979,53961,4.6,21,59333,26057,33276,8,18.1,9607,2.9,36.2,0,2147,2167,15813
1977,50,a) 0,1688,1792,8603,4318,1771,197.7,0,0,8570,8570,0,198.5,198.5,0,0,0,0,0,8570,198.5,0,0,,,
1977,50,l) Left Censored,8797,9817,136464,134688,143,1.4,1347,12.9,22739,5156,17583,3.8,16.9,19186,8799,10387,6.5,14.2,3553,2.7,28.4,0,909,912,4669
1977,51,a) 0,11421,12258,72984,36948,12059,196.8,0,0,72072,72072,0,195.1,195.1,0,0,0,0,0,72072,195.1,0,0,,,
1977,51,l) Left Censored,61131,75896,1318502,1323735,2354,2.9,10720,13.4,210821,55306,155515,4.2,15.9,221288,79434,141854,6,16.7,-10467,-0.8,31.8,0,6985,7027,42951
1977,53,a) 0,12903,13916,76845,38933,13669,196.5,0,0,75825,75825,0,194.8,194.8,0,0,0,0,0,75825,194.8,0,0,,,
1977,53,l) Left Censored,53323,63940,950951,943418,1901,2.8,10117,14.8,166887,36486,130401,3.9,17.7,151821,65408,86413,6.9,16.1,15066,1.6,32.2,0,6565,6595,39509
1977,54,a) 0,3974,4241,23879,12084,4132,194.9,0,0,23590,23590,0,195.2,195.2,0,0,0,0,0,23590,195.2,0,0,,,
1977,54,l) Left Censored,22577,26647,448002,447153,647,2.3,3800,13.4,75000,17847,57153,4,16.8,73301,31646,41655,7.1,16.4,1699,0.4,32.8,0,2463,2478,13568
1977,55,a) 0,10685,11627,66707,33982,11440,196.8,0,0,65450,65450,0,192.6,192.6,0,0,0,0,0,65450,192.6,0,0,,,
1977,55,l) Left Censored,65169,76033,1368577,1367261,1691,2.1,9807,12.2,173298,31245,142053,2.3,12.7,170665,69944,100721,5.1,12.5,2633,0.2,25,0,6219,6269,38462
1977,56,a) 0,1911,2015,10765,5429,1983,196.8,0,0,10673,10673,0,196.6,196.6,0,0,0,0,0,10673,196.6,0,0,,,
1977,56,l) Left Censored,7748,8746,98532,97563,277,3,1373,14.7,20825,4709,16116,4.8,21.3,18886,8866,10020,9.1,19.4,1939,1.9,38.8,0,926,928,6309
1978,01,a) 0,8298,8500,46926,23580,8408,197.8,0,0,46692,46692,0,198,198,0,0,0,0,0,46692,198,0,0,,,
1978,01,b) 1,6471,7193,57404,56988,121,1.5,2331,28,17938,1285,16653,2.3,31.5,17105,11444,5661,20.1,30,833,1.5,60,0,1778,1784,7769
1978,01,l) Left Censored,39399,49403,927869,914141,1731,3.4,5671,11,148436,24134,124302,2.6,16.2,120979,43780,77199,4.8,13.2,27457,3,26.4,0,3889,3904,23173
1978,02,a) 0,1436,1447,7339,3685,1433,198.1,0,0,7309,7309,0,198.3,198.3,0,0,0,0,0,7309,198.3,0,0,,,
1978,02,b) 1,1093,1233,15914,14145,23,1.6,492,33.4,7584,361,7223,2.6,53.6,4046,2786,1260,19.7,28.6,3538,25,57.2,0,323,323,1674
1978,02,l) Left Censored,4232,5330,86952,90772,343,6,992,17.5,21111,5399,15712,5.9,23.3,28751,12296,16455,13.5,31.7,-7640,-8.4,46.6,0,514,519,5313
1978,04,a) 0,6357,6416,38081,19042,6415,200,0,0,38078,38078,0,200,200,0,0,0,0,0,38078,200,0,0,,,
1978,04,b) 1,4943,5607,48910,49748,96,1.4,2752,39.3,17300,1151,16149,2.3,34.8,18975,13654,5321,27.4,38.1,-1675,-3.3,69.6,0,1741,1762,7714
1978,04,l) Left Censored,23847,30998,571056,561437,1232,3.7,5596,16.8,107627,21012,86615,3.7,19.2,88389,43210,45179,7.7,15.7,19238,3.5,31.4,0,3144,3169,20593
1978,05,a) 0,5056,5073,24121,12061,5073,200,0,0,24121,24121,0,200,200,0,0,0,0,0,24121,200,0,0,,,
1978,05,b) 1,4008,4313,28370,29804,37,0.7,2198,40.2,7698,476,7222,1.6,25.8,10565,7999,2566,26.8,35.4,-2867,-9.6,51.6,0,1465,1465,5179
1978,05,l) Left Censored,24635,29542,511206,514623,822,2.6,5010,15.7,75811,11543,64268,2.2,14.7,82645,39660,42985,7.7,16.1,-6834,-1.4,29.4,0,2954,2969,16496
1978,06,a) 0,66369,66956,380614,191623,66264,197.9,0,0,377982,377982,0,197.3,197.3,0,0,0,0,0,377982,197.3,0,0,,,
1978,06,b) 1,52509,59578,498862,507427,939,1.4,19769,28.5,157206,11177,146029,2.2,31,174336,93126,81210,18.4,34.4,-17130,-3.4,62,0,13684,13736,61116
1978,06,l) Left Censored,256125,326086,6362577,6323414,13804,4,47136,13.7,1146789,207176,939613,3.3,18.1,1068462,435385,633077,6.9,16.9,78327,1.2,33.8,0,27766,27989,186832
1978,08,a) 0,8832,8879,47549,23775,8879,200,0,0,47549,47549,0,200,200,0,0,0,0,0,47549,200,0,0,,,
1978,08,b) 1,7064,7858,62255,62417,154,1.6,3479,36.2,20785,1528,19257,2.4,33.3,21109,15298,5811,24.5,33.8,-324,-0.5,66.6,0,2295,2295,9181
1978,08,l) Left Censored,34330,42476,767198,757667,1760,3.9,7634,16.7,144740,24288,120452,3.2,19.1,125679,59637,66042,7.9,16.6,19061,2.5,33.2,0,4411,4445,29244
1978,09,a) 0,6501,6519,29993,15050,6478,198.7,0,0,29887,29887,0,198.6,198.6,0,0,0,0,0,29887,198.6,0,0,,,
1978,09,b) 1,5866,6437,48143,46974,72,1,1613,22.3,13134,1466,11668,3.1,28,10795,6372,4423,13.6,23,2339,5,46,0,1133,1134,4305
1978,09,l) Left Censored,43128,50252,1061625,1059680,1531,3,4658,9,149870,21357,128513,2,14.1,145980,57334,88646,5.4,13.8,3890,0.3,27.6,0,3158,3174,27983
1978,10,a) 0,1151,1158,5851,2942,1143,197.4,0,0,5819,5819,0,197.8,197.8,0,0,0,0,0,5819,197.8,0,0,,,
1978,10,b) 1,1080,1252,9334,9543,22,1.5,506,33.8,2880,648,2232,6.8,30.2,3297,2574,723,27,34.5,-417,-4.3,60.4,0,404,404,1719
1978,10,l) Left Censored,7470,8879,207768,210537,290,3.1,1127,12.1,50271,2918,47353,1.4,23.9,55808,38264,17544,18.2,26.5,-5537,-2.6,47.8,0,827,828,32505
1978,11,a) 0,1447,1451,8764,4404,1437,198.1,0,0,8720,8720,0,198,198,0,0,0,0,0,8720,198,0,0,,,
1978,11,b) 1,1388,1557,28641,28453,53,3.1,385,22.3,5259,1278,3981,4.5,18.5,4883,2658,2225,9.3,17.2,376,1.3,34.4,0,237,239,1527
1978,11,l) Left Censored,10392,12236,279922,274232,460,3.6,1370,10.8,48560,6798,41762,2.5,17.7,37179,14067,23112,5.1,13.6,11381,4.1,27.2,0,885,899,6622
1978,12,a) 0,29063,29250,163285,82176,28906,197.6,0,0,162219,162219,0,197.4,197.4,0,0,0,0,0,162219,197.4,0,0,,,
1978,12,b) 1,22526,24877,200259,213782,357,1.2,8308,28.7,63804,4672,59132,2.2,29.8,90850,40122,50728,18.8,42.5,-27046,-12.7,59.6,0,6442,6457,29591
1978,12,l) Left Censored,108132,136634,2200876,2195431,5779,4,18019,12.6,394287,74279,320008,3.4,18,383397,150690,232707,6.9,17.5,10890,0.5,35,0,12441,12510,81021
1978,13,a) 0,12478,12550,65023,32733,12392,197.5,0,0,64580,64580,0,197.3,197.3,0,0,0,0,0,64580,197.3,0,0,,,
1978,13,b) 1,10055,11131,85264,84535,180,1.4,3823,29.4,26280,2485,23795,2.9,31.1,24822,16525,8297,19.5,29.4,1458,1.7,58.8,0,2936,2944,11627
1978,13,l) Left Censored,58508,75241,1465613,1437234,3005,3.8,8706,11.1,249892,49322,200570,3.4,17.4,193135,76520,116615,5.3,13.4,56757,4,26.8,0,5773,5802,40591
1978,15,a) 0,2307,2327,14724,7405,2303,197.9,0,0,14638,14638,0,197.7,197.7,0,0,0,0,0,14638,197.7,0,0,,,
1978,15,b) 1,1858,2262,20182,20073,75,2.9,636,24.9,5736,590,5146,2.9,28.6,5518,3238,2280,16.1,27.5,218,1.1,55,0,459,459,1774
1978,15,l) Left Censored,11223,13968,240501,240775,455,3.1,1554,10.7,35808,6750,29058,2.8,14.9,36355,16900,19455,7,15.1,-547,-0.2,29.8,0,946,960,5808
1978,16,a) 0,2603,2607,12978,6489,2607,200,0,0,12978,12978,0,200,200,0,0,0,0,0,12978,200,0,0,,,
1978,16,b) 1,2056,2232,14853,15727,35,1.3,1043,37.7,4459,264,4195,1.7,28.4,6207,4509,1698,28.7,39.5,-1748,-11.1,56.8,0,673,674,2666
1978,16,l) Left Censored,10973,13491,202060,221728,420,2.9,2245,15.5,37736,8497,29239,3.8,17,77071,16260,60811,7.3,34.8,-39335,-17.8,34,0,1239,1247,7330
1978,17,a) 0,21532,21752,121023,60978,21481,197.5,0,0,120090,120090,0,196.9,196.9,0,0,0,0,0,120090,196.9,0,0,,,
1978,17,b) 1,18997,21286,182193,181622,342,1.4,5612,23.4,47056,4470,42586,2.5,25.9,45914,27295,18619,15,25.3,1142,0.6,50.6,0,4110,4122,17740
1978,17,l) Left Censored,138014,165464,3773993,3755076,5663,3.3,18385,10.7,544694,94492,450202,2.5,14.5,506859,174127,332732,4.6,13.5,37835,1,27,0,12277,12406,80773
1978,18,a) 0,10398,10498,55019,27623,10401,198.2,0,0,54793,54793,0,198.4,198.4,0,0,0,0,0,54793,198.4,0,0,,,
1978,18,b) 1,8702,9836,80623,81245,166,1.5,2827,25.2,20226,1738,18488,2.1,24.9,21470,13036,8434,16,26.4,-1244,-1.5,49.8,0,2036,2040,8941
1978,18,l) Left Censored,61921,77144,1694150,1660069,2523,3.2,7902,9.9,253320,33907,219413,2,15.3,185158,64453,120705,3.9,11.2,68162,4.1,22.4,0,5284,5321,31969
1978,19,a) 0,7309,7347,37028,18601,7275,198,0,0,36855,36855,0,198.1,198.1,0,0,0,0,0,36855,198.1,0,0,,,
1978,19,b) 1,6418,7068,49419,49063,81,1,1896,23.7,12258,567,11691,1.2,25,11545,6759,4786,13.8,23.5,713,1.5,47,0,1409,1412,4895
1978,19,l) Left Censored,42298,51153,789805,789186,1632,3.1,5530,10.4,109839,17533,92306,2.2,13.9,108600,34917,73683,4.4,13.8,1239,0.1,27.6,0,3930,3952,20573
1978,20,a) 0,6298,6325,32596,16382,6261,198,0,0,32428,32428,0,197.9,197.9,0,0,0,0,0,32428,197.9,0,0,,,
1978,20,b) 1,5324,5872,41346,52487,116,1.7,1663,24.9,11174,1434,9740,2.7,21.3,33456,7671,25785,14.6,63.7,-22282,-42.4,42.6,0,1269,1271,5980
1978,20,l) Left Censored,34102,41128,627249,623115,1473,3.4,4601,10.8,96545,17399,79146,2.8,15.5,88276,33895,54381,5.4,14.2,8269,1.3,28.4,0,3148,3159,17885
1978,21,a) 0,7115,7147,37409,18784,7077,198,0,0,37250,37250,0,198.3,198.3,0,0,0,0,0,37250,198.3,0,0,,,
1978,21,b) 1,5815,6359,43717,44477,73,1,2122,28.6,11889,796,11093,1.8,26.7,13409,8687,4722,19.5,30.1,-1520,-3.4,53.4,0,1617,1617,6398
1978,21,l) Left Censored,38468,46682,875379,873200,1932,4,5286,10.9,134695,22116,112579,2.5,15.4,130336,51438,78898,5.9,14.9,4359,0.5,29.8,0,3616,3628,18658
1978,22,a) 0,7822,7849,44953,22477,7849,200,0,0,44953,44953,0,200,200,0,0,0,0,0,44953,200,0,0,,,
1978,22,b) 1,6483,7215,61087,61461,94,1.1,3000,34.2,20328,1152,19176,1.9,33.1,21076,13014,8062,21.2,34.3,-748,-1.2,66.2,0,1985,1987,8990
1978,22,l) Left Censored,42400,52984,1002457,978986,1518,2.7,7691,13.6,188329,28658,159671,2.9,19.2,141387,60173,81214,6.1,14.4,46942,4.8,28.8,0,4360,4384,27259
1978,23,a) 0,2794,2806,11847,5947,2788,198.7,0,0,11800,11800,0,198.4,198.4,0,0,0,0,0,11800,198.4,0,0,,,
1978,23,b) 1,2253,2488,17697,17706,24,0.9,662,23.5,4050,573,3477,3.2,22.9,4068,2197,1871,12.4,23,-18,-0.1,45.8,0,480,480,1658
